date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:16	85330/85330	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://127.0.0.1:8000/static/images/coimbra/thumbnails/coimbra_14.jpg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/coimbra/thumbnails/coimbra_14.jpg	(from http://127.0.0.1:8000/information/coimbra/)
14:11:16	398076/398076	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://127.0.0.1:8000/static/images/facilities/thumbnails/iscac_01.jpg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/facilities/thumbnails/iscac_01.jpg	(from http://127.0.0.1:8000/information/venue/)
14:11:17	86739/86739	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://127.0.0.1:8000/static/images/facilities/thumbnails/iscac_02.jpg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/facilities/thumbnails/iscac_02.jpg	(from http://127.0.0.1:8000/information/venue/)
14:11:17	326034/326034	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://127.0.0.1:8000/static/images/facilities/thumbnails/iscac_03.jpg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/facilities/thumbnails/iscac_03.jpg	(from http://127.0.0.1:8000/information/venue/)
14:11:18	260615/260615	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://127.0.0.1:8000/static/images/facilities/thumbnails/iscac_04.jpg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/facilities/thumbnails/iscac_04.jpg	(from http://127.0.0.1:8000/information/venue/)
14:11:18	248590/248590	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://127.0.0.1:8000/static/images/facilities/thumbnails/iscac_05.jpg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/facilities/thumbnails/iscac_05.jpg	(from http://127.0.0.1:8000/information/venue/)
14:11:19	420236/420236	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://127.0.0.1:8000/static/images/facilities/thumbnails/iscac_06.jpg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/facilities/thumbnails/iscac_06.jpg	(from http://127.0.0.1:8000/information/venue/)
14:11:19	134596/134596	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://127.0.0.1:8000/static/images/facilities/thumbnails/iscac_07.jpg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/facilities/thumbnails/iscac_07.jpg	(from http://127.0.0.1:8000/information/venue/)
14:11:20	111512/111512	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://127.0.0.1:8000/static/images/facilities/thumbnails/iscac_08.jpg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/facilities/thumbnails/iscac_08.jpg	(from http://127.0.0.1:8000/information/venue/)
14:11:20	356661/356661	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://127.0.0.1:8000/static/images/facilities/thumbnails/iscac_09.jpg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/facilities/thumbnails/iscac_09.jpg	(from http://127.0.0.1:8000/information/venue/)
