date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:27	371243/371243	---M--	200	added ('OK')	image/png	etag:%22655b782a-5aa2b%22	http://127.0.0.1:8000/static/images/speakers/efe_oge.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/efe_oge.png	(from http://127.0.0.1:8000/home/)
13:03:10	234218/234218	---M--	200	added ('OK')	image/png	etag:%22655b782a-392ea%22	http://127.0.0.1:8000/static/images/speakers/quazi_nafiul_islam.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/quazi_nafiul_islam.png	(from http://127.0.0.1:8000/home/)
13:03:15	908842/908842	---M--	200	added ('OK')	image/png	etag:%22655b782a-dde2a%22	http://127.0.0.1:8000/static/images/speakers/rodrigo_girao_serrao.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/rodrigo_girao_serrao.png	(from http://127.0.0.1:8000/home/)
13:03:40	167991/167991	---M--	200	added ('OK')	image/png	etag:%22655b782a-29037%22	http://127.0.0.1:8000/static/images/speakers/riccardo_magliocchetti.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/riccardo_magliocchetti.png	(from http://127.0.0.1:8000/home/)
13:03:49	796285/796285	---M--	200	added ('OK')	image/png	etag:%22655b782a-c267d%22	http://127.0.0.1:8000/static/images/speakers/anastasiia_kostiv.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/anastasiia_kostiv.png	(from http://127.0.0.1:8000/home/)
13:04:43	321372/321372	---M--	200	added ('OK')	image/png	etag:%22655b782a-4e75c%22	http://127.0.0.1:8000/static/images/speakers/filipe_lains.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/filipe_lains.png	(from http://127.0.0.1:8000/home/)
13:05:44	716909/716909	---M--	200	added ('OK')	image/png	etag:%22655b782a-af06d%22	http://127.0.0.1:8000/static/images/speakers/dash.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/dash.png	(from http://127.0.0.1:8000/home/)
13:05:52	1367316/1367316	---M--	200	added ('OK')	image/png	etag:%22655b782a-14dd14%22	http://127.0.0.1:8000/static/images/speakers/rashmi_nagpal.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/rashmi_nagpal.png	(from http://127.0.0.1:8000/home/)
13:06:44	328324/328324	---M--	200	added ('OK')	image/png	etag:%22655b782a-50284%22	http://127.0.0.1:8000/static/images/speakers/francisco_lavrador_pires.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/francisco_lavrador_pires.png	(from http://127.0.0.1:8000/home/)
13:07:15	1383610/1383610	---M--	200	added ('OK')	image/png	etag:%22655b782a-151cba%22	http://127.0.0.1:8000/static/images/speakers/murilo_cunha.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/murilo_cunha.png	(from http://127.0.0.1:8000/home/)
13:07:57	1120982/1120982	---M--	200	added ('OK')	image/png	etag:%22655b782a-111ad6%22	http://127.0.0.1:8000/static/images/speakers/jorge_miranda.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/jorge_miranda.png	(from http://127.0.0.1:8000/home/)
13:08:12	786506/786506	---M--	200	added ('OK')	image/png	etag:%22655b782a-c004a%22	http://127.0.0.1:8000/static/images/speakers/avneet_kaur.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/avneet_kaur.png	(from http://127.0.0.1:8000/home/)
13:08:12	507976/507976	---M--	200	added ('OK')	image/png	etag:%22655b782a-7c048%22	http://127.0.0.1:8000/static/images/speakers/duarte_pompeu.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/duarte_pompeu.png	(from http://127.0.0.1:8000/home/)
13:08:38	146642/146642	---M--	200	added ('OK')	image/png	etag:%22655b782a-23cd2%22	http://127.0.0.1:8000/static/images/speakers/jayesh_kothari.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/jayesh_kothari.png	(from http://127.0.0.1:8000/home/)
13:08:39	929/929	---M--	200	added ('OK')	image/svg+xml	etag:%22655b782a-3a1%22	http://127.0.0.1:8000/static/images/other/calendar.svg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/other/calendar.svg	(from http://127.0.0.1:8000/home/)
13:08:44	15046/15046	---M--	200	added ('OK')	image/png	etag:%22655b782a-3ac6%22	http://127.0.0.1:8000/static/images/sponsors/loggi.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/sponsors/loggi.png	(from http://127.0.0.1:8000/home/)
13:08:54	46808/46808	---M--	200	added ('OK')	image/png	etag:%22655b782a-b6d8%22	http://127.0.0.1:8000/static/images/sponsors/eps.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/sponsors/eps.png	(from http://127.0.0.1:8000/home/)
13:08:58	15390/15390	---M--	200	added ('OK')	image/png	etag:%22655b782a-3c1e%22	http://127.0.0.1:8000/static/images/sponsors/dsf.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/sponsors/dsf.png	(from http://127.0.0.1:8000/home/)
13:09:02	20599/20599	---M--	200	added ('OK')	image/svg+xml	etag:%22655b782a-5077%22	http://127.0.0.1:8000/static/images/sponsors/logo-psf.svg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/sponsors/logo-psf.svg	(from http://127.0.0.1:8000/home/)
13:09:12	427438/427438	---M--	200	added ('OK')	image/png	etag:%22655b782a-685ae%22	http://127.0.0.1:8000/static/images/speakers/luca_baggi.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/luca_baggi.png	(from http://127.0.0.1:8000/home/)
13:09:38	195785/195785	---M--	200	added ('OK')	image/png	etag:%22655b782a-2fcc9%22	http://127.0.0.1:8000/static/images/sponsors/cmc.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/sponsors/cmc.png	(from http://127.0.0.1:8000/home/)
13:10:09	173374/173374	---M--	200	added ('OK')	image/png	etag:%22655b782a-2a53e%22	http://127.0.0.1:8000/static/images/sponsors/evolutio.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/sponsors/evolutio.png	(from http://127.0.0.1:8000/home/)
13:10:14	19876/19876	---M--	200	added ('OK')	image/png	etag:%22655b782a-4da4%22	http://127.0.0.1:8000/static/images/logo/logo_green.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/logo/logo_green.png	(from http://127.0.0.1:8000/home/)
13:10:15	624/624	---M--	200	added ('OK')	image/svg+xml	etag:%22655b782a-270%22	http://127.0.0.1:8000/static/images/external_logo/logo_twitter.svg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/external_logo/logo_twitter.svg	(from http://127.0.0.1:8000/home/)
13:10:16	2841/2841	---M--	200	added ('OK')	image/svg+xml	etag:%22655b782a-b19%22	http://127.0.0.1:8000/static/images/external_logo/logo_slack.svg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/external_logo/logo_slack.svg	(from http://127.0.0.1:8000/home/)
